Reporting Date,Sale Month,Store,Artist,Title,ISRC,UPC,Quantity,Team Percentage,Song/Album,Country of Sale,Songwriter Royalties Withheld,Earnings (USD)
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,1,100,Song,ES,0,0.00481164
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,1,100,Song,FR,0,0.00504157
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,126,100,Song,FR,0,0.38420723
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,9,100,Song,IT,0,0.00454992
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,5,100,Song,MX,0,0.00485508
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,2,100,Song,MY,0,0.00303363
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,2,100,Song,PL,0,0.00302515
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,1,100,Song,SA,0,0.00335575
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,1,100,Song,SE,0,0.00570912
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,36,100,Song,SG,0,0.08059306
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,1,100,Song,TW,0,0.00013139
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,11,100,Song,GB,0,0.05555088
2022-12-31,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,25,100,Song,IN,0,0.009583
2022-12-31,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,1,100,Song,KR,0,0.001057
2022-12-31,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,56,100,Song,US,0,0.17248402
2022-12-31,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196400294481.0,10,100,Song,US,0,0.030976
2022-12-23,2022-10,Apple Music,Lamanna,Lose Control (Villain Remix),QZMER2160751,196400294481.0,3,100,Song,FR,0,0.01242726
2022-12-30,2022-10,Spotify,Lamanna,Lose Control (Villain Remix),QZMER2160751,196400294481.0,3,100,Song,TW,0,0.00414621
2022-12-31,2022-10,Spotify,Lamanna,Lose Control (Villain Remix),QZMER2160751,196400294481.0,1,100,Song,IN,0,0.000365
2022-12-31,2022-10,Spotify,Lamanna,Lose Control (Villain Remix),QZMER2160751,196400294481.0,9,100,Song,US,0,0.025328
2022-12-30,2022-10,Spotify,Lamanna,Ghost Town,QZK6F2020713,195597715601.0,1,100,Song,AU,0,0.00441323
2022-12-30,2022-10,Spotify,Lamanna,Don't Wanna Love (feat. Valious),QZK6P1948844,195162203441.0,35,100,Song,DE,0,0.04855716
2022-12-30,2022-10,Spotify,Lamanna,Don't Wanna Love (feat. Valious),QZK6P1948844,195162203441.0,1,100,Song,IE,0,0.00561799
2022-12-31,2022-10,Spotify,Lamanna,Ghost Town,QZK6F2020713,195597715601.0,9,100,Song,US,0,0.030001
2022-12-31,2022-10,Spotify,Lamanna,Don't Wanna Love (feat. Valious),QZK6P1948844,195162203441.0,5,100,Song,US,0,0.018279
2022-12-31,2022-10,Spotify,Lamanna,Don't Wanna Love (feat. Valious),QZK6P1948844,195162203441.0,7,100,Song,US,0,0.015544
2022-12-30,2022-10,Spotify,Lamanna,Bartender (feat. Overcam),QZMER2149010,196400294481.0,1,100,Song,TW,0,0.00013139
2022-12-31,2022-10,Spotify,Lamanna,Bartender (feat. Overcam),QZMER2149010,196400294481.0,8,100,Song,US,0,0.032057
2022-12-31,2022-10,Spotify,Lamanna,Bartender (feat. Overcam),QZMER2149010,196400294481.0,8,100,Song,US,0,0.023789
2022-12-31,2022-10,Spotify,Lamanna,Missed Calls (feat. Lukexi),QZK6Q1997340,195162203441.0,7,100,Song,US,0,0.02681
2022-12-31,2022-10,Spotify,Lamanna,Missed Calls (feat. Lukexi),QZK6Q1997340,195162203441.0,4,100,Song,US,0,0.011722
2022-12-30,2022-10,Spotify,Lamanna,No Less,QZK6G2163925,196323441665.0,1,100,Song,SE,0,0.00570912
2022-12-31,2022-10,Spotify,Lamanna,No Less,QZK6G2163925,196323441665.0,1,100,Song,US,0,0.002595
2022-12-17,2022-10,Tidal,Lamanna,Singapore,QZK6L2162403,196321515399.0,2,100,Song,PL,0,0.00558624
2022-12-23,2022-10,Apple Music,Lamanna,Singapore,QZK6L2162403,196321515399.0,3,100,Song,FR,0,0.01075192
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196321515399.0,7,100,Song,AT,0,0.01648947
2022-12-30,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196321515399.0,1,100,Song,GB,0,0.00654848
2022-12-31,2022-10,Spotify,Lamanna,Singapore,QZK6L2162403,196321515399.0,2,100,Song,IN,0,0.001565
2022-12-30,2022-10,Spotify,Lamanna,Past Life,QZRP42101051,196620870274.0,1,100,Song,TW,0,0.00013139
2022-12-30,2022-10,Resso,Lamanna,Past Life,QZRP42101051,196620870274.0,2,100,Song,BR,0,0.00116334
2022-12-30,2022-10,Spotify,Lamanna,Past Life,QZRP42101051,196620870274.0,2,100,Song,GB,0,0.01309697
2022-12-31,2022-10,Spotify,Lamanna,Past Life,QZRP42101051,196620870274.0,5,100,Song,US,0,0.009701
2022-12-31,2022-10,Spotify,Lamanna,u don't miss me like i miss u,QZK6G2163772,196323441870.0,7,100,Song,US,0,0.018196
2022-12-30,2022-10,Resso,REM-31,Ghosts in My Room (feat. Lamanna & Obzidion),QZNWV2177399,196510113818.0,1,33,Song,ID,0,1.508e-05
2022-12-31,2022-10,Spotify,REM-31,Ghosts in My Room (feat. Lamanna & Obzidion),QZNWV2177399,196510113818.0,2,33,Song,US,0,0.00279675
2022-12-30,2022-10,Spotify,Lamanna,Soju,QZK6G2110764,196400294481.0,1,100,Song,SE,0,0.00570912
2022-12-30,2022-10,Spotify,Lamanna,Soju,QZK6G2110764,196400294481.0,2,100,Song,TW,0,0.00213827
2022-12-31,2022-10,Spotify,Lamanna,Soju,QZK6G2110764,196400294481.0,3,100,Song,US,0,0.007784
2022-12-31,2022-10,Spotify,Lamanna,Soju,QZK6G2110764,196400294481.0,6,100,Song,US,0,0.014237
2022-12-30,2022-10,Spotify,Lamanna,Winner,QZTAS2142078,196833204514.0,1,100,Song,TW,0,0.00013139
2022-12-31,2022-10,Spotify,Lamanna,Winner,QZTAS2142078,196833204514.0,8,100,Song,US,0,0.02139
2022-12-31,2022-10,Spotify,Lamanna,Winner,QZTAS2142078,196833204514.0,7,100,Song,US,0,0.023707
2022-12-23,2022-10,Apple Music,Lamanna,Deja Vu,QZMER2160752,196400294481.0,1,100,Song,US,0,0.00434395
2022-12-30,2022-10,Spotify,Lamanna,Deja Vu,QZMER2160752,196400294481.0,1,100,Song,AU,0,0.00441323
2022-12-30,2022-10,Spotify,Lamanna,Deja Vu,QZMER2160752,196400294481.0,1,100,Song,TW,0,0.00013139
2022-12-31,2022-10,Spotify,Lamanna,Deja Vu,QZMER2160752,196400294481.0,2,100,Song,US,0,0.005189
2022-12-23,2022-10,Apple Music,Lamanna,Bartender (feat. Overcam),QZMER2149010,196400362494.0,3,100,Song,US,0,0.02513669
2022-12-30,2022-10,Spotify,Lamanna,Bartender (feat. Overcam),QZMER2149010,196400362494.0,1,100,Song,TW,0,0.00200688
2022-12-31,2022-10,Spotify,Lamanna,Bartender (feat. Overcam),QZMER2149010,196400362494.0,1,100,Song,IN,0,0.000365
2022-12-30,2022-10,Spotify,Lamanna,Flowers,QZNWS2145684,196511762343.0,2,100,Song,AU,0,0.0088254
2022-12-30,2022-10,Resso,Lamanna,Flowers,QZNWS2145684,196511762343.0,2,100,Song,ID,0,9.138e-05
2022-12-30,2022-10,Spotify,Lamanna,Flowers,QZNWS2145684,196511762343.0,2,100,Song,GB,0,0.01309697
2022-12-31,2022-10,Spotify,Lamanna,Flowers,QZNWS2145684,196511762343.0,1,100,Song,IN,0,7.3e-05
